,Type,Developer,Smell,Folds,Criterion,Max_Depth,Max_Leaf_Nodes,Min_Samples_Leaf,Min_Samples_Split,Tree,Accuracy,Precision,Recall,Fmeasure
22,Type,30,DCL,5,gini,,,1,20,return False ( 10 examples )return True ( 5 examples ),0.6666666666666666,0.0,0.0,0.0
23,Type,21,DCL,5,gini,,,1,2,"if ( AMW <= 1.04999995232 ) {    return True ( 8 examples )}
else {    if ( RFC <= 13.5 ) {        return True ( 1 examples )    }
    else {        return False ( 6 examples )    }}",0.7499999999999999,0.8666666666666666,0.8,0.7866666666666666
24,Type,51,SG,5,gini,,,5,2,"if ( CountDeclInstanceVariable <= 0.5 ) {    if ( CountDeclMethod <= 2.5 ) {        return False ( 2 examples )        return True ( 3 examples )    }
    else {        return False ( 1 examples )        return True ( 4 examples )    }}
else {    return False ( 4 examples )    return True ( 1 examples )}",0.4833333333333333,0.5333333333333333,0.7,0.5599999999999999
25,Type,52,SG,5,gini,,,1,2,"if ( AvgLineComment <= 2.34999990463 ) {    return False ( 4 examples )}
else {    if ( AvgLineComment <= 4.14499998093 ) {        if ( AvgLineCode <= 14.0 ) {            return True ( 6 examples )        }
        else {            return False ( 1 examples )        }    }
    else {        return False ( 4 examples )    }}",0.6,0.5666666666666667,1.0,0.7
26,Type,53,SG,5,gini,,,1,20,return False ( 10 examples )return True ( 5 examples ),0.6666666666666666,0.0,0.0,0.0
27,Type,5,SG,5,gini,,,1,20,return False ( 10 examples )return True ( 5 examples ),0.6666666666666666,0.0,0.0,0.0
28,Type,91,SG,5,gini,,,1,2,return True ( 15 examples ),1.0,1.0,1.0,1.0
29,Type,55,SG,5,gini,,,1,2,return True ( 15 examples ),1.0,1.0,1.0,1.0
30,Type,49,SG,5,gini,,,1,10,"if ( AvgLineComment <= 3.875 ) {    return False ( 7 examples )    return True ( 2 examples )}
else {    return False ( 1 examples )    return True ( 5 examples )}",0.5,0.3333333333333333,0.3,0.29333333333333333
31,Type,105,SG,5,gini,,,1,20,return False ( 13 examples )return True ( 2 examples ),0.9,0.0,0.0,0.0
32,Type,64,SG,5,gini,,,1,20,return False ( 4 examples )return True ( 11 examples ),0.7499999999999999,0.7499999999999999,1.0,0.8514285714285714
33,Type,56,SG,5,entropy,,,1,2,"if ( CountClassCoupled <= 1.5 ) {    return False ( 7 examples )}
else {    if ( CountDeclMethod <= 4.0 ) {        if ( AvgLine <= 16.5 ) {            return False ( 3 examples )        }
        else {            return True ( 1 examples )        }    }
    else {        return True ( 4 examples )    }}",0.7999999999999999,0.5,0.6,0.5333333333333333
34,Type,99,SG,5,gini,,,1,2,"if ( CountDeclMethodAll <= 16.0 ) {    if ( AvgLineComment <= 1.10000002384 ) {        return False ( 1 examples )    }
    else {        return True ( 5 examples )    }}
else {    if ( AvgCyclomaticStrict <= 2.875 ) {        return False ( 7 examples )    }
    else {        return True ( 2 examples )    }}",0.6333333333333333,0.3,0.4,0.3333333333333333
35,Type,95,SG,5,gini,,,1,2,"if ( CountDeclInstanceVariable <= 1.5 ) {    return False ( 11 examples )}
else {    return True ( 4 examples )}",1.0,0.8,0.8,0.8
36,Type,103,GC,5,gini,,,1,2,"if ( AvgLineCode <= 7.08500003815 ) {    return False ( 7 examples )}
else {    if ( AvgCyclomaticStrict <= 1.45000004768 ) {        return False ( 1 examples )    }
    else {        return True ( 7 examples )    }}",0.8833333333333332,0.9,0.9,0.8666666666666666
37,Type,16,GC,5,gini,,,1,2,"if ( WMCNAMM <= 72.0 ) {    return False ( 10 examples )}
else {    return True ( 5 examples )}",0.8666666666666666,0.7,0.8,0.7333333333333333
38,Type,94,GC,5,gini,,,1,2,"if ( AvgLineBlank <= 0.210000008345 ) {    return False ( 7 examples )}
else {    if ( AvgLineComment <= 0.25 ) {        return False ( 1 examples )    }
    else {        return True ( 7 examples )    }}",0.7333333333333333,0.5,0.6,0.5333333333333333
39,Type,84,GC,5,gini,,,1,20,return False ( 10 examples )return True ( 5 examples ),0.6666666666666666,0.0,0.0,0.0
40,Type,66,GC,5,gini,,,1,2,"if ( AvgCyclomaticModified <= 2.49000000954 ) {    return False ( 12 examples )}
else {    return True ( 3 examples )}",0.8833333333333332,0.3,0.4,0.3333333333333333
41,Type,9,GC,5,gini,,,1,2,"if ( WMCNAMM <= 72.0 ) {    return False ( 10 examples )}
else {    return True ( 5 examples )}",0.8666666666666666,0.7,0.8,0.7333333333333333
42,Type,102,GC,5,gini,,,1,20,return False ( 10 examples )return True ( 5 examples ),0.6666666666666666,0.0,0.0,0.0
43,Type,15,GC,5,gini,,,1,20,return False ( 10 examples )return True ( 5 examples ),0.6666666666666666,0.0,0.0,0.0
44,Type,61,GC,5,gini,,,1,20,return False ( 11 examples )return True ( 4 examples ),0.7499999999999999,0.0,0.0,0.0
45,Type,62,GC,5,gini,,,1,2,return True ( 15 examples ),1.0,1.0,1.0,1.0
